"Entity","Aliases","Address","Country","License Requirement","License Policy","Federal Register Citation"
"â","","âCPUNTO.; 5929 Route Transcanadienne Ste 130 St. Laurent, Quebec H4T 1Z6 Canada.","CANADA","For all items subject to the EAR. (See §§ 734.9(g),3744.21(b), and 746.8(a)(3) of the EAR)","Policy of denial for all items subject to the EAR apart from food and medicine designated as EAR99, which will be reviewed on a case-by-case basis. See §§ 746.8(b) and 744.21(e)","88 FR [INSERT FR PAGE NUMBER AND 2/27/2023]."
"â","","â*âââââââââ*âââââââââ*âââââââââ*âââââââââ*âââââââââ*","CANADA","","",""
"â","","âElectronic Network;; âElectronic Network Holdings;; âElectronic Network Holdings Inc.;; âElectronic Network Incorporated;; âElectronic Network Products Inc.;and; âElectronic's Network & Technology Corp.","CANADA","For all items subject to the EAR. (See §§ 734.9(g),3744.21(b), and 746.8(a)(3) of the EAR)","Policy of denial for all items subject to the EAR apart from food and medicine designated as EAR99, which will be reviewed on a case-by-case basis. See §§ 746.8(b) and 744.21(e)","88 FR [INSERT FR PAGE NUMBER AND 2/27/2023]."
"â","","145 Montee De Liesse Ste 10 St. Laurent, Quebec H4T 1T9 Canada.","CANADA","","",""
"â","","â*âââââââââ*âââââââââ*âââââââââ*âââââââââ*âââââââââ*","CANADA","","",""
"â","","âAOOK;and; âAOOK Electronics.; Rm 803 Chevalier Building 45-51 Chatham Rd S Tsim Sha Tsui Hong Kong, China.","CHINA, PEOPLE'S REPUBLIC OF","For all items subject to the EAR. (See §§ 734.9(g),3744.21(b), and 746.8(a)(3) of the EAR)","Policy of denial for all items subject to the EAR apart from food and medicine designated as EAR99, which will be reviewed on a case-by-case basis. See §§ 746.8(b) and 744.21(e)","88 FR [INSERT FR PAGE NUMBER AND 2/27/2023]."
"â","","â*âââââââââ*âââââââââ*âââââââââ*âââââââââ*âââââââââ*","CHINA, PEOPLE'S REPUBLIC OF","","",""
"â","","âBeijing Ti-Tech;and; âChina Ti-Tech Development Co. Ltd.; 5F, Building 5 Science and Technology Park, A-2 North Xisanhuan Road, Beijing 100081 China.","CHINA, PEOPLE'S REPUBLIC OF","For all items subject to the EAR. (See §§ 734.9(g),3744.21(b), and 746.8(a)(3) of the EAR)","Policy of denial for all items subject to the EAR apart from food and medicine designated as EAR99, which will be reviewed on a case-by-case basis. See §§ 746.8(b) and 744.21(e)","88 FR [INSERT FR PAGE NUMBER AND 2/27/2023]."
"â","","â*âââââââââ*âââââââââ*âââââââââ*âââââââââ*âââââââââ*","CHINA, PEOPLE'S REPUBLIC OF","","",""
"â","","âBeijing Yunze;; âBeijing Yunze Technology Company;and; âYunze Beijing.; West of Floor 1, Building 7, Jiajia Garden Courtyard 15, Fengtai Beijing 100000 China;and201, Floor 2, 36#, Yinhe Garden, Miyun District Beijing 100000 China;and402, Floor 4, No. 85, Huilongguan W. Street, Changping District Beijing 102200 China.","CHINA, PEOPLE'S REPUBLIC OF","For all items subject to the EAR. (See §§ 734.9(g),3744.21(b), and 746.8(a)(3) of the EAR)","Policy of denial for all items subject to the EAR apart from food and medicine designated as EAR99, which will be reviewed on a case-by-case basis. See §§ 746.8(b) and 744.21(e)","88 FR [INSERT FR PAGE NUMBER AND 2/27/2023]."
"â","","â*âââââââââ*âââââââââ*âââââââââ*âââââââââ*âââââââââ*","CHINA, PEOPLE'S REPUBLIC OF","","",""
